Round,Player,Hashtag,Description,Round Points,Total Points
2,player #7,#Fukushima50,"so I need to write a tweet about the Fukushima Nuclear Disaster based on the provided information. Let me break down the key points:

1. It happened in 2011 at the Daiichi Nuclear Power Plant in Japan.
2. Caused by the Tōhoku earthquake, the most pow",0,0
2,player #4,#Fukushima,"ht, I need to write a tweet about the Fukushima Nuclear Disaster based on the provided information. The user has specified that the tweet should not exceed 140 characters. 

First, I'll identify the key points from the event:

- It happened in 2011 a",0,0
2,player #13,#FukushimaAccident,"I need to write a tweet about the Fukushima Nuclear Disaster. Let's see, the key points are the 2011 accident caused by the Tōhoku earthquake, the resulting tsunami that damaged the Daiichi plant, leading to radioactive releases and a 100-foot exclus",0,0
2,player #20,#FukushimaLegacy,"so I need to write a tweet about the Fukushima Nuclear Disaster. The user provided a detailed description, but I have to condense it into a tweet that's under 140 characters. 

First, I should identify the key points from the event. The disaster happ",0,0
2,player #10,#FukushimaDisaster,"I need to write a tweet about the Fukushima Nuclear Disaster based on the given information. The tweet should be under 140 characters. 

First, I'll summarize the key points: It happened in 2011 due to the Tōhoku earthquake, caused a tsunami, damaged",1,1
2,player #18,#FukushimaDisaster,"so I need to write a tweet about the Fukushima Nuclear Disaster. The user provided a detailed event summary, so I should extract the key points. The disaster happened in 2011 due to the Tōhoku earthquake, causing a tsunami that damaged the Daiichi pl",1,1
2,player #5,#Fukushima50,"I need to write a tweet about the Fukushima Nuclear Disaster based on the information provided. The user wants it to be under 140 characters. Let me read through the event details again.

The disaster happened in 2011 at the Daiichi plant, caused by ",0,0
2,player #8,#FukushimaLegacy,"ht, I need to write a tweet about the Fukushima Nuclear Disaster based on the provided information. First, I should identify the key points. The disaster happened in 2011 due to the Tōhoku earthquake, causing a tsunami that damaged the Daiichi plant.",0,1
2,player #1,#FukushimaLegacy,"so I need to write a tweet about the Fukushima Nuclear Disaster based on the provided information. The key points are the cause (earthquake and tsunami), the impact on the plant, radioactive discharge into the sea, the exclusion zone, displacement of",1,2
2,player #14,#FukushimaLegacy,"I need to write a tweet about the Fukushima Nuclear Disaster. First, I should make sure it's under 140 characters. Let me start by summarizing the key points. The disaster happened in 2011 due to the Tōhoku earthquake, causing a tsunami that damaged ",1,1
2,player #3,#FukushimaImpact,"I need to write a tweet about the Fukushima Nuclear Disaster. First, I should keep it under 140 characters. The event happened in 2011, caused by the Tohoku earthquake. The tsunami led to reactor damage and radiation release. People were evacuated, a",0,0
2,player #11,#FukushimaNuclearDisaster2011,"I need to write a tweet about the Fukushima Nuclear Disaster based on the information provided. The tweet should be under 140 characters. 

First, I should identify the key points from the event. The disaster happened in 2011 due to the Tōhoku earthq",0,0
2,player #2,#Fukushima50,"so I need to write a tweet about the Fukushima Nuclear Disaster based on the provided information. The user has given me a detailed description of the event, so I should extract the key points to fit into a tweet without exceeding 140 characters.

Fi",0,0
2,player #17,#FukushimaMemorial,"I need to write a tweet about the Fukushima Nuclear Disaster. Let me read through the information provided to make sure I understand the key points.

The disaster happened in 2011 at the Daiichi Nuclear Power Plant in Japan. It was caused by the Tōho",0,0
2,player #15,#Fukushima,"ht, I need to write a tweet about the Fukushima Nuclear Disaster based on the provided information. The tweet has to be under 140 characters. Let me read through the event details again.

The disaster happened in 2011 at the Daiichi plant due to the ",0,0
2,player #9,#FukushimaDisaster,"so I need to write a tweet about the Fukushima Nuclear Disaster. Let me see, the event happened in 2011 due to the Tōhoku earthquake and the resulting tsunami. The tsunami caused damage to the Daiichi Nuclear Power Plant, leading to a nuclear acciden",0,0
2,player #19,#FukushimaDisaster,"so I need to write a tweet about the Fukushima Nuclear Disaster based on the information provided. The user wants it to be under 140 characters. Let me start by summarizing the key points.

First, the disaster happened in 2011 due to the Tōhoku earth",0,0
2,player #6,#FukushimaLegacy,"so I need to write a tweet about the Fukushima Nuclear Disaster. Let me read through the provided information carefully.

The event happened in 2011 at the Daiichi Nuclear Power Plant in Japan. It was caused by the Tōhoku earthquake, which was the st",0,0
3,player #12,#FukushimaImpact,"so I need to write a tweet about the Fukushima Nuclear Disaster. The user provided a detailed description, so I should extract the key points. Let me read through the information again.

The disaster happened in 2011 at the Daiichi plant due to the T",0,0
3,player #1,#FukushimaLegacy,"so I need to write a tweet about the Fukushima Nuclear Disaster based on the provided information. The key points are the cause (earthquake and tsunami), the impact on the plant, radioactive discharge into the sea, the exclusion zone, displacement of",0,2
3,player #18,#FukushimaDisaster,"so I need to write a tweet about the Fukushima Nuclear Disaster. The user provided a detailed event summary, so I should extract the key points. The disaster happened in 2011 due to the Tōhoku earthquake, causing a tsunami that damaged the Daiichi pl",1,2
3,player #19,#FukushimaDisaster,"so I need to write a tweet about the Fukushima Nuclear Disaster based on the information provided. The user wants it to be under 140 characters. Let me start by summarizing the key points.

First, the disaster happened in 2011 due to the Tōhoku earth",1,1
3,player #9,#FukushimaDisaster,"so I need to write a tweet about the Fukushima Nuclear Disaster. Let me see, the event happened in 2011 due to the Tōhoku earthquake and the resulting tsunami. The tsunami caused damage to the Daiichi Nuclear Power Plant, leading to a nuclear acciden",0,0
3,player #16,#FukushimaCrisis,"I need to write a tweet about the Fukushima Nuclear Disaster. The event happened in 2011 due to the Tōhoku earthquake, causing a tsunami that damaged the Daiichi plant. The disaster led to radioactive releases and a 100-foot exclusion zone. It displa",0,0
3,player #4,#Fukushima,"ht, I need to write a tweet about the Fukushima Nuclear Disaster based on the provided information. The user has specified that the tweet should not exceed 140 characters. 

First, I'll identify the key points from the event:

- It happened in 2011 a",0,0
3,player #11,#FukushimaNuclearDisaster2011,"I need to write a tweet about the Fukushima Nuclear Disaster based on the information provided. The tweet should be under 140 characters. 

First, I should identify the key points from the event. The disaster happened in 2011 due to the Tōhoku earthq",0,0
3,player #6,#FukushimaLegacy,"so I need to write a tweet about the Fukushima Nuclear Disaster. Let me read through the provided information carefully.

The event happened in 2011 at the Daiichi Nuclear Power Plant in Japan. It was caused by the Tōhoku earthquake, which was the st",0,0
3,player #13,#FukushimaAccident,"I need to write a tweet about the Fukushima Nuclear Disaster. Let's see, the key points are the 2011 accident caused by the Tōhoku earthquake, the resulting tsunami that damaged the Daiichi plant, leading to radioactive releases and a 100-foot exclus",0,0
3,player #7,#Fukushima50,"so I need to write a tweet about the Fukushima Nuclear Disaster based on the provided information. Let me break down the key points:

1. It happened in 2011 at the Daiichi Nuclear Power Plant in Japan.
2. Caused by the Tōhoku earthquake, the most pow",0,0
3,player #8,#FukushimaLegacy,"ht, I need to write a tweet about the Fukushima Nuclear Disaster based on the provided information. First, I should identify the key points. The disaster happened in 2011 due to the Tōhoku earthquake, causing a tsunami that damaged the Daiichi plant.",0,1
3,player #15,#Fukushima,"ht, I need to write a tweet about the Fukushima Nuclear Disaster based on the provided information. The tweet has to be under 140 characters. Let me read through the event details again.

The disaster happened in 2011 at the Daiichi plant due to the ",0,0
3,player #17,#FukushimaMemorial,"I need to write a tweet about the Fukushima Nuclear Disaster. Let me read through the information provided to make sure I understand the key points.

The disaster happened in 2011 at the Daiichi Nuclear Power Plant in Japan. It was caused by the Tōho",0,0
3,player #3,#FukushimaImpact,"I need to write a tweet about the Fukushima Nuclear Disaster. First, I should keep it under 140 characters. The event happened in 2011, caused by the Tohoku earthquake. The tsunami led to reactor damage and radiation release. People were evacuated, a",0,0
3,player #14,#FukushimaLegacy,"I need to write a tweet about the Fukushima Nuclear Disaster. First, I should make sure it's under 140 characters. Let me start by summarizing the key points. The disaster happened in 2011 due to the Tōhoku earthquake, causing a tsunami that damaged ",0,1
3,player #2,#Fukushima50,"so I need to write a tweet about the Fukushima Nuclear Disaster based on the provided information. The user has given me a detailed description of the event, so I should extract the key points to fit into a tweet without exceeding 140 characters.

Fi",0,0
3,player #20,#FukushimaLegacy,"so I need to write a tweet about the Fukushima Nuclear Disaster. The user provided a detailed description, but I have to condense it into a tweet that's under 140 characters. 

First, I should identify the key points from the event. The disaster happ",0,0
3,player #5,#Fukushima50,"I need to write a tweet about the Fukushima Nuclear Disaster based on the information provided. The user wants it to be under 140 characters. Let me read through the event details again.

The disaster happened in 2011 at the Daiichi plant, caused by ",0,0
3,player #10,#FukushimaDisaster,"I need to write a tweet about the Fukushima Nuclear Disaster based on the given information. The tweet should be under 140 characters. 

First, I'll summarize the key points: It happened in 2011 due to the Tōhoku earthquake, caused a tsunami, damaged",0,1
4,player #16,#FukushimaDisaster,"I need to write a tweet about the Fukushima Nuclear Disaster. The event happened in 2011 due to the Tōhoku earthquake, causing a tsunami that damaged the Daiichi plant. The disaster led to radioactive releases and a 100-foot exclusion zone. It displa",0,0
4,player #11,#FukushimaNuclearDisaster2011,"I need to write a tweet about the Fukushima Nuclear Disaster based on the information provided. The tweet should be under 140 characters. 

First, I should identify the key points from the event. The disaster happened in 2011 due to the Tōhoku earthq",0,0
4,player #13,#FukushimaAccident,"I need to write a tweet about the Fukushima Nuclear Disaster. Let's see, the key points are the 2011 accident caused by the Tōhoku earthquake, the resulting tsunami that damaged the Daiichi plant, leading to radioactive releases and a 100-foot exclus",0,0
4,player #18,#FukushimaDisaster,"so I need to write a tweet about the Fukushima Nuclear Disaster. The user provided a detailed event summary, so I should extract the key points. The disaster happened in 2011 due to the Tōhoku earthquake, causing a tsunami that damaged the Daiichi pl",0,2
4,player #12,#FukushimaImpact,"so I need to write a tweet about the Fukushima Nuclear Disaster. The user provided a detailed description, so I should extract the key points. Let me read through the information again.

The disaster happened in 2011 at the Daiichi plant due to the T",0,0
4,player #10,#FukushimaDisaster,"I need to write a tweet about the Fukushima Nuclear Disaster based on the given information. The tweet should be under 140 characters. 

First, I'll summarize the key points: It happened in 2011 due to the Tōhoku earthquake, caused a tsunami, damaged",0,1
4,player #8,#FukushimaLegacy,"ht, I need to write a tweet about the Fukushima Nuclear Disaster based on the provided information. First, I should identify the key points. The disaster happened in 2011 due to the Tōhoku earthquake, causing a tsunami that damaged the Daiichi plant.",0,1
4,player #2,#Fukushima50,"so I need to write a tweet about the Fukushima Nuclear Disaster based on the provided information. The user has given me a detailed description of the event, so I should extract the key points to fit into a tweet without exceeding 140 characters.

Fi",0,0
4,player #9,#FukushimaDisaster,"so I need to write a tweet about the Fukushima Nuclear Disaster. Let me see, the event happened in 2011 due to the Tōhoku earthquake and the resulting tsunami. The tsunami caused damage to the Daiichi Nuclear Power Plant, leading to a nuclear acciden",0,0
4,player #6,#FukushimaLegacy,"so I need to write a tweet about the Fukushima Nuclear Disaster. Let me read through the provided information carefully.

The event happened in 2011 at the Daiichi Nuclear Power Plant in Japan. It was caused by the Tōhoku earthquake, which was the st",0,0
4,player #20,#FukushimaLegacy,"so I need to write a tweet about the Fukushima Nuclear Disaster. The user provided a detailed description, but I have to condense it into a tweet that's under 140 characters. 

First, I should identify the key points from the event. The disaster happ",1,1
4,player #1,#FukushimaLegacy,"so I need to write a tweet about the Fukushima Nuclear Disaster based on the provided information. The key points are the cause (earthquake and tsunami), the impact on the plant, radioactive discharge into the sea, the exclusion zone, displacement of",1,3
4,player #4,#Fukushima,"ht, I need to write a tweet about the Fukushima Nuclear Disaster based on the provided information. The user has specified that the tweet should not exceed 140 characters. 

First, I'll identify the key points from the event:

- It happened in 2011 a",0,0
4,player #5,#Fukushima50,"I need to write a tweet about the Fukushima Nuclear Disaster based on the information provided. The user wants it to be under 140 characters. Let me read through the event details again.

The disaster happened in 2011 at the Daiichi plant, caused by ",0,0
4,player #7,#Fukushima50,"so I need to write a tweet about the Fukushima Nuclear Disaster based on the provided information. Let me break down the key points:

1. It happened in 2011 at the Daiichi Nuclear Power Plant in Japan.
2. Caused by the Tōhoku earthquake, the most pow",0,0
4,player #14,#FukushimaLegacy,"I need to write a tweet about the Fukushima Nuclear Disaster. First, I should make sure it's under 140 characters. Let me start by summarizing the key points. The disaster happened in 2011 due to the Tōhoku earthquake, causing a tsunami that damaged ",0,1
4,player #3,#FukushimaImpact,"I need to write a tweet about the Fukushima Nuclear Disaster. First, I should keep it under 140 characters. The event happened in 2011, caused by the Tohoku earthquake. The tsunami led to reactor damage and radiation release. People were evacuated, a",0,0
4,player #19,#FukushimaDisaster,"so I need to write a tweet about the Fukushima Nuclear Disaster based on the information provided. The user wants it to be under 140 characters. Let me start by summarizing the key points.

First, the disaster happened in 2011 due to the Tōhoku earth",0,1
4,player #15,#Fukushima,"ht, I need to write a tweet about the Fukushima Nuclear Disaster based on the provided information. The tweet has to be under 140 characters. Let me read through the event details again.

The disaster happened in 2011 at the Daiichi plant due to the ",0,0
4,player #17,#FukushimaMemorial,"I need to write a tweet about the Fukushima Nuclear Disaster. Let me read through the information provided to make sure I understand the key points.

The disaster happened in 2011 at the Daiichi Nuclear Power Plant in Japan. It was caused by the Tōho",0,0
5,player #1,#FukushimaLegacy,"so I need to write a tweet about the Fukushima Nuclear Disaster based on the provided information. The key points are the cause (earthquake and tsunami), the impact on the plant, radioactive discharge into the sea, the exclusion zone, displacement of",0,3
5,player #17,#FukushimaMemorial,"I need to write a tweet about the Fukushima Nuclear Disaster. Let me read through the information provided to make sure I understand the key points.

The disaster happened in 2011 at the Daiichi Nuclear Power Plant in Japan. It was caused by the Tōho",0,0
5,player #15,#Fukushima,"ht, I need to write a tweet about the Fukushima Nuclear Disaster based on the provided information. The tweet has to be under 140 characters. Let me read through the event details again.

The disaster happened in 2011 at the Daiichi plant due to the ",0,0
5,player #16,#FukushimaDisaster,"I need to write a tweet about the Fukushima Nuclear Disaster. The event happened in 2011 due to the Tōhoku earthquake, causing a tsunami that damaged the Daiichi plant. The disaster led to radioactive releases and a 100-foot exclusion zone. It displa",0,0
5,player #10,#FukushimaDisaster,"I need to write a tweet about the Fukushima Nuclear Disaster based on the given information. The tweet should be under 140 characters. 

First, I'll summarize the key points: It happened in 2011 due to the Tōhoku earthquake, caused a tsunami, damaged",1,2
5,player #9,#FukushimaDisaster,"so I need to write a tweet about the Fukushima Nuclear Disaster. Let me see, the event happened in 2011 due to the Tōhoku earthquake and the resulting tsunami. The tsunami caused damage to the Daiichi Nuclear Power Plant, leading to a nuclear acciden",1,1
5,player #20,#FukushimaLegacy,"so I need to write a tweet about the Fukushima Nuclear Disaster. The user provided a detailed description, but I have to condense it into a tweet that's under 140 characters. 

First, I should identify the key points from the event. The disaster happ",0,1
5,player #3,#FukushimaImpact,"I need to write a tweet about the Fukushima Nuclear Disaster. First, I should keep it under 140 characters. The event happened in 2011, caused by the Tohoku earthquake. The tsunami led to reactor damage and radiation release. People were evacuated, a",0,0
5,player #7,#Fukushima50,"so I need to write a tweet about the Fukushima Nuclear Disaster based on the provided information. Let me break down the key points:

1. It happened in 2011 at the Daiichi Nuclear Power Plant in Japan.
2. Caused by the Tōhoku earthquake, the most pow",0,0
5,player #12,#FukushimaImpact,"so I need to write a tweet about the Fukushima Nuclear Disaster. The user provided a detailed description, so I should extract the key points. Let me read through the information again.

The disaster happened in 2011 at the Daiichi plant due to the T",0,0
5,player #5,#Fukushima50,"I need to write a tweet about the Fukushima Nuclear Disaster based on the information provided. The user wants it to be under 140 characters. Let me read through the event details again.

The disaster happened in 2011 at the Daiichi plant, caused by ",0,0
5,player #19,#FukushimaDisaster,"so I need to write a tweet about the Fukushima Nuclear Disaster based on the information provided. The user wants it to be under 140 characters. Let me start by summarizing the key points.

First, the disaster happened in 2011 due to the Tōhoku earth",0,1
5,player #11,#FukushimaNuclearDisaster2011,"I need to write a tweet about the Fukushima Nuclear Disaster based on the information provided. The tweet should be under 140 characters. 

First, I should identify the key points from the event. The disaster happened in 2011 due to the Tōhoku earthq",0,0
5,player #13,#FukushimaAccident,"I need to write a tweet about the Fukushima Nuclear Disaster. Let's see, the key points are the 2011 accident caused by the Tōhoku earthquake, the resulting tsunami that damaged the Daiichi plant, leading to radioactive releases and a 100-foot exclus",0,0
5,player #6,#FukushimaLegacy,"so I need to write a tweet about the Fukushima Nuclear Disaster. Let me read through the provided information carefully.

The event happened in 2011 at the Daiichi Nuclear Power Plant in Japan. It was caused by the Tōhoku earthquake, which was the st",0,0
5,player #18,#FukushimaDisaster,"so I need to write a tweet about the Fukushima Nuclear Disaster. The user provided a detailed event summary, so I should extract the key points. The disaster happened in 2011 due to the Tōhoku earthquake, causing a tsunami that damaged the Daiichi pl",0,2
5,player #14,#FukushimaLegacy,"I need to write a tweet about the Fukushima Nuclear Disaster. First, I should make sure it's under 140 characters. Let me start by summarizing the key points. The disaster happened in 2011 due to the Tōhoku earthquake, causing a tsunami that damaged ",0,1
5,player #2,#Fukushima50,"so I need to write a tweet about the Fukushima Nuclear Disaster based on the provided information. The user has given me a detailed description of the event, so I should extract the key points to fit into a tweet without exceeding 140 characters.

Fi",0,0
5,player #8,#FukushimaLegacy,"ht, I need to write a tweet about the Fukushima Nuclear Disaster based on the provided information. First, I should identify the key points. The disaster happened in 2011 due to the Tōhoku earthquake, causing a tsunami that damaged the Daiichi plant.",0,1
5,player #4,#Fukushima,"ht, I need to write a tweet about the Fukushima Nuclear Disaster based on the provided information. The user has specified that the tweet should not exceed 140 characters. 

First, I'll identify the key points from the event:

- It happened in 2011 a",0,0
6,player #5,#Fukushima50,"I need to write a tweet about the Fukushima Nuclear Disaster based on the information provided. The user wants it to be under 140 characters. Let me read through the event details again.

The disaster happened in 2011 at the Daiichi plant, caused by ",0,0
6,player #4,#Fukushima,"ht, I need to write a tweet about the Fukushima Nuclear Disaster based on the provided information. The user has specified that the tweet should not exceed 140 characters. 

First, I'll identify the key points from the event:

- It happened in 2011 a",0,0
6,player #13,#FukushimaAccident,"I need to write a tweet about the Fukushima Nuclear Disaster. Let's see, the key points are the 2011 accident caused by the Tōhoku earthquake, the resulting tsunami that damaged the Daiichi plant, leading to radioactive releases and a 100-foot exclus",0,0
6,player #8,#FukushimaLegacy,"ht, I need to write a tweet about the Fukushima Nuclear Disaster based on the provided information. First, I should identify the key points. The disaster happened in 2011 due to the Tōhoku earthquake, causing a tsunami that damaged the Daiichi plant.",0,1
6,player #20,#FukushimaLegacy,"so I need to write a tweet about the Fukushima Nuclear Disaster. The user provided a detailed description, but I have to condense it into a tweet that's under 140 characters. 

First, I should identify the key points from the event. The disaster happ",0,1
6,player #16,#FukushimaDisaster,"I need to write a tweet about the Fukushima Nuclear Disaster. The event happened in 2011 due to the Tōhoku earthquake, causing a tsunami that damaged the Daiichi plant. The disaster led to radioactive releases and a 100-foot exclusion zone. It displa",0,0
6,player #10,#FukushimaDisaster,"I need to write a tweet about the Fukushima Nuclear Disaster based on the given information. The tweet should be under 140 characters. 

First, I'll summarize the key points: It happened in 2011 due to the Tōhoku earthquake, caused a tsunami, damaged",1,3
6,player #18,#FukushimaDisaster,"so I need to write a tweet about the Fukushima Nuclear Disaster. The user provided a detailed event summary, so I should extract the key points. The disaster happened in 2011 due to the Tōhoku earthquake, causing a tsunami that damaged the Daiichi pl",1,3
6,player #19,#FukushimaDisaster,"so I need to write a tweet about the Fukushima Nuclear Disaster based on the information provided. The user wants it to be under 140 characters. Let me start by summarizing the key points.

First, the disaster happened in 2011 due to the Tōhoku earth",0,1
6,player #15,#Fukushima,"ht, I need to write a tweet about the Fukushima Nuclear Disaster based on the provided information. The tweet has to be under 140 characters. Let me read through the event details again.

The disaster happened in 2011 at the Daiichi plant due to the ",0,0
6,player #11,#FukushimaNuclearDisaster2011,"I need to write a tweet about the Fukushima Nuclear Disaster based on the information provided. The tweet should be under 140 characters. 

First, I should identify the key points from the event. The disaster happened in 2011 due to the Tōhoku earthq",0,0
6,player #9,#FukushimaDisaster,"so I need to write a tweet about the Fukushima Nuclear Disaster. Let me see, the event happened in 2011 due to the Tōhoku earthquake and the resulting tsunami. The tsunami caused damage to the Daiichi Nuclear Power Plant, leading to a nuclear acciden",0,1
6,player #3,#FukushimaImpact,"I need to write a tweet about the Fukushima Nuclear Disaster. First, I should keep it under 140 characters. The event happened in 2011, caused by the Tohoku earthquake. The tsunami led to reactor damage and radiation release. People were evacuated, a",1,1
6,player #12,#FukushimaImpact,"so I need to write a tweet about the Fukushima Nuclear Disaster. The user provided a detailed description, so I should extract the key points. Let me read through the information again.

The disaster happened in 2011 at the Daiichi plant due to the T",1,1
6,player #7,#Fukushima50,"so I need to write a tweet about the Fukushima Nuclear Disaster based on the provided information. Let me break down the key points:

1. It happened in 2011 at the Daiichi Nuclear Power Plant in Japan.
2. Caused by the Tōhoku earthquake, the most pow",0,0
6,player #1,#FukushimaLegacy,"so I need to write a tweet about the Fukushima Nuclear Disaster based on the provided information. The key points are the cause (earthquake and tsunami), the impact on the plant, radioactive discharge into the sea, the exclusion zone, displacement of",0,3
6,player #6,#FukushimaLegacy,"so I need to write a tweet about the Fukushima Nuclear Disaster. Let me read through the provided information carefully.

The event happened in 2011 at the Daiichi Nuclear Power Plant in Japan. It was caused by the Tōhoku earthquake, which was the st",1,1
6,player #14,#FukushimaLegacy,"I need to write a tweet about the Fukushima Nuclear Disaster. First, I should make sure it's under 140 characters. Let me start by summarizing the key points. The disaster happened in 2011 due to the Tōhoku earthquake, causing a tsunami that damaged ",1,2
6,player #2,#Fukushima50,"so I need to write a tweet about the Fukushima Nuclear Disaster based on the provided information. The user has given me a detailed description of the event, so I should extract the key points to fit into a tweet without exceeding 140 characters.

Fi",0,0
6,player #17,#FukushimaMemorial,"I need to write a tweet about the Fukushima Nuclear Disaster. Let me read through the information provided to make sure I understand the key points.

The disaster happened in 2011 at the Daiichi Nuclear Power Plant in Japan. It was caused by the Tōho",0,0
7,player #4,#Fukushima,"ht, I need to write a tweet about the Fukushima Nuclear Disaster based on the provided information. The user has specified that the tweet should not exceed 140 characters. 

First, I'll identify the key points from the event:

- It happened in 2011 a",0,0
7,player #14,#FukushimaLegacy,"I need to write a tweet about the Fukushima Nuclear Disaster. First, I should make sure it's under 140 characters. Let me start by summarizing the key points. The disaster happened in 2011 due to the Tōhoku earthquake, causing a tsunami that damaged ",0,2
7,player #15,#Fukushima,"ht, I need to write a tweet about the Fukushima Nuclear Disaster based on the provided information. The tweet has to be under 140 characters. Let me read through the event details again.

The disaster happened in 2011 at the Daiichi plant due to the ",0,0
7,player #18,#FukushimaDisaster,"so I need to write a tweet about the Fukushima Nuclear Disaster. The user provided a detailed event summary, so I should extract the key points. The disaster happened in 2011 due to the Tōhoku earthquake, causing a tsunami that damaged the Daiichi pl",0,3
7,player #20,#FukushimaLegacy,"so I need to write a tweet about the Fukushima Nuclear Disaster. The user provided a detailed description, but I have to condense it into a tweet that's under 140 characters. 

First, I should identify the key points from the event. The disaster happ",0,1
7,player #2,#Fukushima50,"so I need to write a tweet about the Fukushima Nuclear Disaster based on the provided information. The user has given me a detailed description of the event, so I should extract the key points to fit into a tweet without exceeding 140 characters.

Fi",0,0
7,player #5,#Fukushima50,"I need to write a tweet about the Fukushima Nuclear Disaster based on the information provided. The user wants it to be under 140 characters. Let me read through the event details again.

The disaster happened in 2011 at the Daiichi plant, caused by ",0,0
